fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
2,A4_WDI_PCA_inter,Bayes_Partial,9.851427768837999,8.042535864109572,0.6216313754463746,2.204246753929761,409,74
3,A4_WDI_PCA_inter,Bayes_Partial,10.194271812202325,7.815710629095162,0.09827723835557112,2.3938917745908572,472,74
4,A4_WDI_PCA_inter,Bayes_Partial,9.342489231282231,7.1293991765102405,0.3663190483954021,2.3348299760919065,535,74
5,A4_WDI_PCA_inter,Bayes_Partial,10.094902653526113,7.306482986878031,0.1895495032923845,2.4572564554760468,598,74
1,A4_WDI_PCA_inter,Bayes_Complete,11.960251903482506,9.241023573202728,0.5535556522496512,2.419497994838748,346,74
2,A4_WDI_PCA_inter,Bayes_Complete,9.851427768837999,8.042535864109572,0.6216313754463746,2.204246753929761,409,74
3,A4_WDI_PCA_inter,Bayes_Complete,10.194271812202325,7.815710629095162,0.09827723835557112,2.3938917745908572,472,74
4,A4_WDI_PCA_inter,Bayes_Complete,9.342489231282231,7.1293991765102405,0.3663190483954021,2.3348299760919065,535,74
5,A4_WDI_PCA_inter,Bayes_Complete,10.094902653526113,7.306482986878031,0.1895495032923845,2.4572564554760468,598,74
1,A5_WDI_6WGI_inter,RandomForest,4.601270218747825,3.376476004312311,0.9339242421282006,0.8840337715125496,346,74
2,A5_WDI_6WGI_inter,RandomForest,3.3585837562329863,2.4549730880209024,0.9560226427288294,0.672843311076004,409,74
3,A5_WDI_6WGI_inter,RandomForest,5.221357927715079,3.983569965806017,0.7634474984499774,1.220136699937448,472,74
4,A5_WDI_6WGI_inter,RandomForest,3.019837299874203,2.4391251077905385,0.9337916856892711,0.7987969639673564,535,74
5,A5_WDI_6WGI_inter,RandomForest,5.020959991652481,3.2198810145076187,0.799508602194551,1.0828839843975793,598,74
1,A5_WDI_6WGI_inter,XGBoost,3.160720431251112,2.0743212177535586,0.9688212397150013,0.5431017448716233,346,74
2,A5_WDI_6WGI_inter,XGBoost,2.4588335119865152,1.6996237402104348,0.9764291627840042,0.4658219963903874,409,74
